Date,Nifty_Close,Nifty_Open,Nifty_High,Nifty_Low,Nifty50_Futures,VIX,Gold_INR_10g,USDINR,FPI_Net_Equity_Cr,FPI_Net_Debt_Cr,FPI_Net_Total_Cr,Put_Cost_ATM_Pct,Put_Cost_95_OTM_Pct,Drawdown_Pct,Yield_3M_Open,Yield_3M_High,Yield_3M_Low,Yield_3M_Close,FPI_Is_MTD,Nifty_LogRet,Nifty_RealVol20d,Put_Cost_Source,Data_Tier,Nifty_Range_Pct,Nifty_Body_Pct,VIX_High_Flag,VIX_Spike_Flag,TRI
2018-09-12,11369.90039,7376.65,7398.7,7250.0,11417.35,14.25,28270.46695,72.98999786,1775.0,3414.0,5146.0,1.391556114,0.153413273,-3.140091233,2.105000019,2.105000019,2.105000019,2.105000019,False,0.007274,10.6949,Actual_VIX_BS,Full,2.051,54.1337,0,0,15719.62
2018-09-13,11369.90039,7376.65,7398.7,7250.0,11498.25,14.25,27795.61532,71.92520142,1775.0,3414.0,5146.0,1.391556114,0.153413273,-3.140091233,2.092999935,2.092999935,2.089999914,2.092999935,False,0.0,10.5846,Actual_VIX_BS,Full,2.051,54.1337,0,0,
2018-09-14,11515.2002,7376.65,7398.7,7250.0,11547.3,13.84000015,27673.04584,72.02749634,1775.0,3414.0,5146.0,1.345137604,0.136218695,-1.902285681,2.095000029,2.102999926,2.095000029,2.102999926,False,0.012698,11.2194,Actual_VIX_BS,Full,2.051,56.1034,0,0,15920.48
2018-09-17,11377.75,7376.65,7398.7,7250.0,11407.7,14.5,27807.92176,72.09500122,1775.0,3414.0,5146.0,1.419869488,0.164372491,-3.073220599,2.109999895,2.109999895,2.105000019,2.10800004,False,-0.012008,11.7049,Actual_VIX_BS,Full,2.051,54.2401,0,0,15731.26
2018-09-18,11278.90039,7376.65,7398.7,7250.0,11310.2,14.42000008,27909.92955,72.53479767,1775.0,3414.0,5146.0,1.410808475,0.160827002,-3.915318051,2.118000031,2.132999897,2.118000031,2.125,False,-0.008726,11.9973,Actual_VIX_BS,Full,2.051,52.9,0,0,15594.57
2018-09-19,11234.34961,7376.65,7398.7,7250.0,11272.8,14.01000023,28262.04888,73.12000275,1775.0,3414.0,5146.0,1.364381912,0.143229308,-4.294845088,2.125,2.138000011,2.119999886,2.119999886,False,-0.003958,12.0236,Actual_VIX_BS,Full,2.051,52.2961,0,0,15534.28
2018-09-20,11234.34961,7376.65,7398.7,7250.0,11369.5,14.01000023,28055.53617,72.34500122,1775.0,3414.0,5146.0,1.364381912,0.143229308,-4.294845088,2.118000031,2.125,2.118000031,2.118000031,False,0.0,12.0008,Actual_VIX_BS,Full,2.051,52.2961,0,0,
2018-09-21,11143.09961,7376.65,7398.7,7250.0,11166.35,15.53999996,27582.57494,71.72000122,1775.0,3414.0,5146.0,1.537720843,0.21365032,-5.072201649,2.119999886,2.125,2.119999886,2.122999907,False,-0.008156,12.2291,Actual_VIX_BS,Full,2.051,51.0591,0,0,15408.16
2018-09-24,10967.40039,7376.65,7398.7,7250.0,10997.95,17.43000031,27850.70701,72.23000336,1775.0,3414.0,5146.0,1.75211937,0.317067575,-6.568979081,2.128000021,2.132999897,2.122999907,2.122999907,False,-0.015893,12.1197,Actual_VIX_BS,Full,2.051,48.6773,0,0,15165.18
2018-09-25,11067.4502,7376.65,7398.7,7250.0,11086.7,16.68000031,28279.77677,73.30000305,1775.0,3414.0,5146.0,1.667010493,0.274030857,-5.716657194,2.170000076,2.170000076,2.164999962,2.167999983,False,0.009081,12.6448,Actual_VIX_BS,Full,2.051,50.0336,0,0,15303.55
2018-09-26,11053.7998,7376.65,7398.7,7250.0,11062.45,17.09000015,28057.76058,73.08999634,1775.0,3414.0,5146.0,1.713532229,0.297247918,-5.832944544,2.160000086,2.170000076,2.150000095,2.160000086,False,-0.001234,12.6526,Actual_VIX_BS,Full,2.051,49.8485,0,0,15284.67
2018-09-27,10977.5498,7376.65,7398.7,7250.0,10977.55,16.92000008,27661.18623,72.76999664,1775.0,3414.0,5146.0,1.694241373,0.287529167,-6.482516466,2.140000105,2.153000116,2.13499999,2.140000105,False,-0.006922,12.7209,Actual_VIX_BS,Full,2.051,48.8148,0,0,15179.24
2018-09-28,10930.4502,7376.65,7398.7,7250.0,10954.3,17.0,27945.38279,72.94999695,1775.0,3414.0,5146.0,1.703319179,0.292086597,-6.883756908,2.144999981,2.157999992,2.144999981,2.150000095,False,-0.0043,12.6624,Actual_VIX_BS,Full,2.051,48.1763,0,0,15114.08
2018-10-01,11008.2998,7376.65,7398.7,7250.0,11061.8,16.84000015,27672.34571,72.50499725,-28921.0,-9978.0,-38906.0,1.685163986,0.283000583,-6.220557953,2.157999992,2.163000107,2.153000116,2.154999971,False,0.007097,13.0249,Actual_VIX_BS,Full,2.051,49.2317,0,0,15221.75
2018-10-02,11008.2998,7376.65,7398.7,7250.0,11009.0,16.84000015,28512.22869,73.75499725,-28921.0,-9978.0,-38906.0,1.685163986,0.283000583,-6.220557953,2.173000097,2.177999973,2.167999983,2.174999952,False,0.0,13.0096,Actual_VIX_BS,Full,2.051,49.2317,0,0,
2018-10-03,10858.25,7376.65,7398.7,7250.0,10893.6,18.12000084,28232.00801,73.27999878,-28921.0,-9978.0,-38906.0,1.830449251,0.358795292,-7.498828641,2.174999952,2.174999952,2.170000076,2.170000076,False,-0.013724,13.6268,Actual_VIX_BS,Full,2.051,47.1976,0,0,15014.23
2018-10-04,10599.25,7376.65,7398.7,7250.0,10631.25,18.92000008,28425.48735,73.84999847,-28921.0,-9978.0,-38906.0,1.921297331,0.409550435,-9.70524343,2.170000076,2.173000097,2.167999983,2.170000076,False,-0.024142,15.235,Actual_VIX_BS,Full,2.051,43.6865,0,0,14656.09
2018-10-05,10316.4502,7376.65,7398.7,7250.0,10347.15,19.72999954,28663.35359,74.22000122,-28921.0,-9978.0,-38906.0,2.013310556,0.463344228,-12.11440818,2.164999962,2.167999983,2.163000107,2.164999962,False,-0.027044,16.8617,Actual_VIX_BS,Full,2.051,39.8528,0,0,14265.08
2018-10-08,10348.0498,7376.65,7398.7,7250.0,10379.0,20.14999962,28088.4465,73.76300049,-28921.0,-9978.0,-38906.0,2.061031519,0.492125971,-11.84521187,2.164999962,2.164999962,2.164999962,2.164999962,False,0.003058,16.9104,Actual_VIX_BS,Full,2.051,40.2812,1,1,14308.79
2018-10-09,10301.0498,7376.65,7398.7,7250.0,10314.4,19.76000023,28203.32235,73.88999939,-28921.0,-9978.0,-38906.0,2.01671905,0.46538056,-12.24560374,2.170000076,2.194999933,2.170000076,2.184999943,False,-0.004552,16.6273,Actual_VIX_BS,Full,2.051,39.644,0,0,14243.79
2018-10-10,10460.09961,7376.65,7398.7,7250.0,10465.75,17.90999985,28505.57727,74.55000305,-28921.0,-9978.0,-38906.0,1.806606845,0.345887769,-10.89066227,2.220000029,2.224999905,2.220000029,2.220000029,False,0.015322,17.6046,Actual_VIX_BS,Full,2.051,41.8001,0,0,14463.71
2018-10-11,10234.65039,7376.65,7398.7,7250.0,10252.05,20.54999924,29344.96058,74.59999847,-28921.0,-9978.0,-38906.0,2.106485981,0.520070778,-12.81125876,2.217999935,2.220000029,2.214999914,2.214999914,False,-0.021789,18.5914,Actual_VIX_BS,Full,2.051,38.7439,1,1,14152.0
2018-10-12,10472.5,7376.65,7398.7,7250.0,10486.55,18.62999916,29043.12976,74.16000366,-28921.0,-9978.0,-38906.0,1.888361196,0.390868697,-10.78502364,2.217999935,2.217999935,2.217999935,2.217999935,False,0.022974,20.1963,Actual_VIX_BS,Full,2.051,41.9682,0,0,14480.86
2018-10-15,10512.5,7376.65,7398.7,7250.0,10517.45,18.88999939,29050.18769,73.6760025,-28921.0,-9978.0,-38906.0,1.917889898,0.407603268,-10.4442646,2.224999905,2.234999895,2.22300005,2.230000019,False,0.003812,20.2225,Actual_VIX_BS,Full,2.051,42.5105,0,0,14536.17
2018-10-16,10584.75,7376.65,7398.7,7250.0,10589.85,17.37000084,29230.91931,74.08000183,-28921.0,-9978.0,-38906.0,1.745309427,0.313533542,-9.828768582,2.265000105,2.265000105,2.255000114,2.25999999,False,0.006849,20.4891,Actual_VIX_BS,Full,2.051,43.4899,0,0,14636.1
2018-10-17,10453.0498,7376.65,7398.7,7250.0,10443.95,17.97999954,28899.47723,73.45549774,-28921.0,-9978.0,-38906.0,1.81455398,0.350170412,-10.95071939,2.25999999,2.269999981,2.25999999,2.25999999,False,-0.012521,20.7561,Actual_VIX_BS,Full,2.051,41.7046,0,0,14453.94
2018-10-18,10453.0498,7376.65,7398.7,7250.0,10231.5,17.97999954,29148.77032,73.91999817,-28921.0,-9978.0,-38906.0,1.81455398,0.350170412,-10.95071939,2.257999897,2.25999999,2.255000114,2.255000114,False,0.0,20.7561,Actual_VIX_BS,Full,2.051,41.7046,0,0,
2018-10-19,10303.5498,7376.65,7398.7,7250.0,10303.2,19.79000092,29214.80094,74.16000366,-28921.0,-9978.0,-38906.0,2.02012758,0.467419938,-12.2243063,2.255000114,2.25999999,2.255000114,2.25999999,False,-0.014405,21.0543,Actual_VIX_BS,Full,2.051,39.6779,0,0,14247.22
2018-10-22,10245.25,7376.65,7398.7,7250.0,10231.95,21.36000061,28844.16543,73.46499634,-28921.0,-9978.0,-38906.0,2.198547775,0.578168142,-12.72096094,2.257999897,2.25999999,2.257999897,2.257999897,False,-0.005674,20.5907,Actual_VIX_BS,Full,2.051,38.8876,1,1,14166.64
2018-10-23,10146.7998,7376.65,7398.7,7250.0,10147.9,19.04000092,29288.76348,73.85949707,-28921.0,-9978.0,-38906.0,1.934927252,0.417372055,-13.55965579,2.285000086,2.289999962,2.285000086,2.289999962,False,-0.009656,20.1531,Actual_VIX_BS,Full,2.051,37.553,0,0,14031.96
2018-10-24,10224.75,7376.65,7398.7,7250.0,10228.55,18.87999916,28903.85761,73.22129822,-28921.0,-9978.0,-38906.0,1.916754096,0.406954952,-12.89559995,2.289999962,2.289999962,2.285000086,2.285000086,False,0.007653,20.5774,Actual_VIX_BS,Full,2.051,38.6097,0,0,14139.75
2018-10-25,10124.90039,7376.65,7398.7,7250.0,10124.9,18.95999908,28934.14286,73.22049713,-28921.0,-9978.0,-38906.0,1.925840422,0.412151693,-13.74621638,2.279999971,2.285000086,2.279999971,2.279999971,False,-0.009813,20.6592,Actual_VIX_BS,Full,2.051,37.2561,0,0,14014.33
2018-10-26,10030.0,7376.65,7398.7,7250.0,10054.1,19.22999954,29014.06465,73.22019958,-28921.0,-9978.0,-38906.0,1.956508952,0.429863103,-14.55467053,2.269999981,2.275000095,2.269999981,2.273000002,False,-0.009417,20.7473,Actual_VIX_BS,Full,2.051,35.9696,0,0,13882.95
2018-10-29,10250.84961,7376.65,7398.7,7250.0,10283.95,19.82999992,28788.25936,73.125,-28921.0,-9978.0,-38906.0,2.024672123,0.470143699,-12.673258,2.279999971,2.282999992,2.25999999,2.25999999,False,0.02178,22.4053,Actual_VIX_BS,Full,2.051,38.9635,0,0,14189.11
2018-10-30,10198.40039,7376.65,7398.7,7250.0,10229.25,20.5,28926.6046,73.59059906,-28921.0,-9978.0,-38906.0,2.100803949,0.516549994,-13.12007164,2.289999962,2.289999962,2.282999992,2.282999992,False,-0.00513,22.371,Actual_VIX_BS,Full,2.051,38.2525,1,1,14116.91
